,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
113,Tulsa,Amer,10-10,6.84,102.7,168,95.9,65,65.6,309,0.004,156,8.22,77,105.3,106,97,45,-3.04,239
114,Bowling Green,MAC,14-9,6.82,108.6,78,101.7,162,70.6,87,0.014,137,3.4,125,105.5,98,102.1,151,0.73,181
115,Massachusetts,A10,7-5,6.47,105.5,124,99.1,115,72.6,28,-0.076,319,1.47,149,101.6,202,100.1,115,-1.2,212
116,Eastern Washington,BSky,12-6,6.42,110.4,57,104,204,73.2,16,-0.096,331,-3.06,211,100.9,221,104,221,16.25,11
117,UAB,CUSA,19-6,6.39,102,184,95.6,60,68,202,0.009,149,-5.24,262,98.4,298,103.6,201,-13.27,320
118,South Dakota St.,Sum,15-6,6.18,110.5,55,104.3,212,71.7,44,0.032,108,-1.14,177,102.5,176,103.6,200,6.21,93
119,Indiana St.,MVC,14-9,5.93,104,145,98,95,67.7,217,0.075,51,4.86,111,104.9,112,100,113,7.8,74
120,Pepperdine,WCC,11-11,5.82,107.9,92,102,168,71.2,61,0.001,165,8.15,78,106.3,81,98.2,77,5.61,98
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
121,Pacific,WCC,9-8,5.72,103.2,155,97.4,88,67.1,254,0.046,85,7.89,81,106.6,76,98.7,86,2.58,149
122,Duquesne,A10,8-8,5.71,103,159,97.3,85,68.8,164,-0.016,219,4.21,118,104.2,125,100,114,0.66,185
123,Vermont,AE,10-4,5.6,106,120,100.4,132,67.2,251,-0.047,276,-9.19,331,95.9,337,105.1,268,-99,330
124,Butler,BE,8-13,5.51,101,209,95.5,59,64.9,328,0.046,82,12.03,37,108.9,35,96.8,39,-1.45,214
125,TCU,B12,12-10,5.19,107.1,101,101.9,166,67.1,257,0.116,16,8.95,71,106.3,83,97.3,54,-0.36,202
126,George Mason,A10,12-8,5.09,101.8,189,96.7,76,68.1,196,0.027,114,2.44,136,104.2,128,101.7,144,-5.68,275
127,Boston College,ACC,4-13,5.07,106.4,115,101.3,155,71.3,55,-0.109,340,12.28,35,110.1,16,97.8,66,12.73,28
128,Wofford,SC,15-8,4.96,107.1,102,102.1,172,66.5,277,0.05,74,1.82,145,104.4,118,102.6,165,6.44,89
129,Texas A&M,SEC,8-7,4.66,101.5,198,96.8,78,64.2,344,0.077,46,5.99,98,106,90,100,112,-7.11,291
130,Weber St.,BSky,16-5,4.52,108.3,83,103.8,198,72.3,34,-0.029,239,-6.07,279,99.7,258,105.8,304,4.14,120
131,Temple,Amer,5-10,4.38,102.9,163,98.5,103,68.6,173,-0.072,312,8.95,72,105.6,97,96.6,32,-14.53,322
132,DePaul,BE,4-12,4.29,98.4,247,94.1,45,70.3,90,-0.067,304,11.65,39,108.8,39,97.1,47,-9.97,309
133,East Tennessee St.,SC,12-11,4.13,103,160,98.9,112,65.8,306,-0.074,315,1.74,146,104.3,123,102.5,162,2.65,146
134,Grand Canyon,WAC,14-5,3.76,103.1,157,99.3,118,65.6,310,-0.049,280,-5.9,278,99.6,260,105.5,286,-0.14,197
135,Morehead St.,OVC,20-7,3.53,99.7,230,96.2,69,66,301,0.139,9,-3.11,213,101.3,210,104.4,235,16.17,12
136,Bradley,MVC,12-15,3.38,103.7,147,100.4,131,66.2,292,-0.083,323,4.93,110,105.5,99,100.6,121,5.4,101
137,East Carolina,Amer,8-8,3.16,101.2,205,98,94,68.3,193,0.015,136,4.8,113,103.6,142,98.8,91,-7.44,296
138,South Florida,Amer,8-9,2.99,101.8,188,98.8,109,66.8,269,0.046,86,6.75,91,104.5,117,97.7,63,1.18,175
139,Detroit,Horz,12-9,2.49,110.3,59,107.8,289,67.7,215,-0.029,240,-2.18,196,103.5,149,105.7,297,9.25,55
140,Tulane,Amer,9-11,2.47,98.8,244,96.3,70,67.6,224,-0.002,187,5.04,108,103.1,161,98.1,75,-16.35,324
141,Cal St. Bakersfield,BW,15-10,2.46,105.1,130,102.7,185,64.2,343,-0.004,192,-1.44,183,101.2,212,102.6,167,0.59,189
142,Mercer,SC,15-10,2.14,107,103,104.9,230,68.5,181,-0.002,183,0.48,160,103.4,151,102.9,177,0.39,190
143,Georgia St.,SB,14-5,2.1,106.4,114,104.3,211,70.4,89,0.081,42,-3.23,215,101.1,216,104.3,232,2.62,147
144,Miami FL,ACC,7-15,2.07,101.2,206,99.1,116,68,203,-0.016,218,10.89,46,108.9,34,98,72,-8.8,303
145,UTEP,CUSA,11-10,2.01,102.2,177,100.2,128,67.8,214,-0.041,262,3.19,126,103.4,152,100.2,117,15.3,14
146,Navy,Pat,14-2,1.95,104.2,142,102.3,175,66.5,276,0.204,1,-5.67,272,97.9,312,103.6,198,5.17,103
147,Miami OH,MAC,11-10,1.9,107,104,105.1,238,66.2,293,-0.006,196,1.68,148,104.4,122,102.7,168,-1.59,218
148,Princeton,Ivy,0-0,1.89,105,131,103.1,187,66.9,265,0,168,-99,348,0,348,200,348,-99,330
149,VMI,SC,12-11,1.75,108.2,85,106.4,267,70.7,77,-0.075,317,0.93,155,103.6,145,102.6,166,4.29,118
150,Ball St.,MAC,9-11,1.73,102.8,167,101.1,147,70.6,82,-0.011,209,3.55,122,105.7,93,102.2,154,3.33,136
151,Cleveland St.,Horz,16-7,1.68,100.6,215,99,113,66.3,287,0.175,2,-1.3,181,105.2,107,106.5,323,19.95,5
152,Chattanooga,SC,18-7,1.57,104.2,141,102.7,184,66.6,273,0.102,24,-1.06,174,102.7,171,103.7,206,-4.22,254
153,Santa Clara,WCC,10-7,1.51,98.2,250,96.7,75,70.6,83,0.15,7,3.78,120,103.6,143,99.8,111,-2.16,228
154,Drexel,CAA,9-7,1.11,105.2,129,104,205,64.5,333,-0.084,324,-4.33,239,100.7,223,105,266,-6.01,276
155,Wake Forest,ACC,6-13,1.06,102.2,178,101.1,153,67.4,240,-0.088,326,12.91,26,109.9,19,97,44,-19.52,327
156,UMBC,AE,14-5,1,100.7,214,99.7,124,68,204,0.011,143,-5.57,268,98.2,303,103.8,210,-4.82,262
157,Jacksonville St.,OVC,17-8,0.95,106.4,116,105.4,245,66.1,294,0.024,119,-4.5,244,100,244,104.5,240,2.7,145
158,Murray St.,OVC,13-12,0.95,104.4,139,103.5,196,66.7,272,-0.164,356,-6.3,288,99,280,105.3,277,-4.35,256
159,North Dakota St.,Sum,12-11,0.94,101.5,197,100.5,136,64.4,339,-0.05,283,-2.03,195,102.8,169,104.8,254,9.35,54
160,Old Dominion,CUSA,14-6,0.8,101.3,200,100.5,137,67.9,211,0.174,3,-0.76,171,101.5,204,102.3,156,3.86,127
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,AdjEM,AdjO,,AdjD,,AdjT,,Luck,,AdjEM,,OppO,,OppD,,AdjEM,
161,Iowa St.,B12,2-18,0.79,101.6,194,100.8,143,69.8,110,-0.124,345,15.62,11,110.9,11,95.2,13,2.02,161
162,Northern Iowa,MVC,9-15,0.74,104,146,103.2,191,69,151,-0.042,263,6.34,95,105.3,102,98.9,96,13.74,21
163,Stephen F. Austin,Slnd,14-4,0.62,104.9,133,104.3,213,70.2,94,0.065,57,-10.92,343,96.6,331,107.5,338,-2.68,235
164,Harvard,Ivy,0-0,0.56,102.9,162,102.4,176,68.4,187,0,168,-99,348,0,348,200,348,-99,330
165,UTSA,CUSA,13-10,0.53,106.9,105,106.4,265,71.9,43,0.019,128,0.96,153,101.7,198,100.7,124,3.32,137
166,Northeastern,CAA,9-8,0.5,99.4,234,98.9,111,67.5,233,0.081,39,2.82,129,105.1,110,102.2,155,13.38,25
167,California,P12,8-19,0.49,103,158,102.6,180,65.2,322,-0.054,288,9.29,65,107.6,58,98.3,80,-1.08,210
168,Eastern Kentucky,OVC,21-6,0.47,102.2,179,101.7,160,75.4,3,0.097,29,-6.84,298,99.2,274,106,311,-8.96,304
169,Siena,MAAC,11-3,0.33,102,185,101.6,159,66.4,280,-0.01,207,-8.19,321,95.9,338,104.1,227,-99,330
170,UNLV,MWC,11-12,0.29,105.3,127,105,233,65.9,302,-0.009,202,3.66,121,103.3,158,99.6,108,10.53,43
171,South Dakota,Sum,13-9,0.29,105.8,123,105.5,249,69.2,138,0.009,147,-2.4,201,102.2,185,104.6,244,8.32,66
172,Southern Utah,BSky,17-3,0.22,106.7,108,106.5,268,70.7,79,0.122,14,-6.98,301,100.3,238,107.3,335,-3.61,250
173,James Madison,CAA,13-6,0.14,104,144,103.9,199,72.1,37,-0.018,221,-3.06,210,100.9,220,104,224,-2.27,230
174,Gardner Webb,BSth,11-14,0,105.3,128,105.3,241,67.3,247,-0.158,355,-5.23,260,99.7,255,105,262,11.89,31
175,New Mexico St.,WAC,7-7,-0.07,103.3,152,103.3,194,65.3,321,-0.155,354,-4.68,250,101.1,215,105.8,305,-6.81,288
176,Hofstra,CAA,12-9,-0.11,106.5,111,106.6,271,68.2,194,0.033,107,-1.75,192,102.3,180,104,226,4.42,116
177,Coastal Carolina,SB,15-6,-0.12,102,183,102.1,174,71.1,66,-0.059,297,-7.26,308,98.1,306,105.4,280,-13.13,319
178,Texas St.,SB,18-6,-0.28,99.9,222,100.2,130,62.8,353,0.095,30,-7.41,310,98,310,105.4,282,-9.89,308
179,Bellarmine,ASun,13-6,-0.37,107.9,91,108.2,294,64.9,329,0.013,138,-6.65,294,99,281,105.6,295,6.85,87
180,Sam Houston St.,Slnd,17-7,-0.39,102.1,180,102.5,179,71.2,59,0.142,8,-1.93,193,101.6,201,103.5,191,14.41,19
181,Washington,P12,5-20,-0.44,101.5,195,102,167,70.9,69,-0.051,284,12.29,34,109,32,96.7,34,8.59,61
182,Oral Roberts,Sum,12-10,-0.82,109.2,70,110,319,71.2,60,-0.007,198,-0.45,166,102.4,177,102.9,175,20.32,3
183,Kansas St.,B12,7-19,-1.11,99.6,231,100.7,141,65.7,307,0.033,106,12.84,28,109.1,29,96.3,28,-3.28,244
184,Bryant,NEC,14-5,-1.38,102.8,166,104.2,209,74.3,9,-0.04,259,-8.42,323,98.1,308,106.5,324,3.26,139
185,Northern Kentucky,Horz,13-10,-1.91,105.5,125,107.4,282,65.5,317,0.039,92,-3.34,217,101.5,205,104.8,257,3.13,140
